Plate2	Replicate	Blank3	P501-300	P503-300	P504-300	P506-300	WT	lrhA	P508-300	P509-300	P511-300	P512-300	Blank4
Plate2	A	0.052	0.058	0.078	0.074	0.07	0.063	0.065	0.116	0.057	0.093	0.113	0.047
Plate2	B	0.053	0.065	0.066	0.069	0.08	0.056	0.058	0.137	0.058	0.074	0.091	0.056
Plate2	C	0.065	0.061	0.07	0.064	0.082	0.055	0.056	0.121	0.056	0.072	0.084	0.049
Plate2	D	0.053	0.06	0.07	0.069	0.083	0.058	0.061	0.135	0.062	0.079	0.087	0.048
Plate2	E	0.057	0.064	0.08	0.068	0.09	0.058	0.059	0.129	0.059	0.077	0.094	0.049
Plate2	F	0.052	0.06	0.08	0.082	0.1	0.081	0.104	0.124	0.083	0.082	0.091	0.046
Plate2	G	0.052	0.062	0.079	0.066	0.081	0.054	0.059	0.111	0.063	0.067	0.079	0.048
Plate2	H	0.052	0.063	0.09	0.073	0.081	0.057	0.058	0.12	0.057	0.074	0.089	0.054
Plate3	Replicate	Blank5	Blank6	P513-300	P516-300	P518-300	WT	hdfR	P520-300	P521-300	P523-300	Blank7	Blank8
Plate3	A	0.05	0.051	0.131	0.095	0.075	0.056	0.058	0.069	0.124	0.09	0.05	0.047
Plate3	B	0.052	0.052	0.124	0.101	0.089	0.055	0.055	0.062	0.111	0.078	0.049	0.046
Plate3	C	0.06	0.053	0.164	0.117	0.105	0.069	0.064	0.069	0.1	0.065	0.045	0.041
Plate3	D	0.052	0.055	0.135	0.112	0.094	0.061	0.056	0.068	0.131	0.076	0.048	0.043
Plate3	E	0.054	0.052	0.178	0.148	0.112	0.098	0.089	0.097	0.126	0.085	0.051	0.047
Plate3	F	0.053	0.053	0.18	0.092	0.087	0.055	0.057	0.059	0.093	0.07	0.044	0.041
Plate3	G	0.051	0.05	0.16	0.113	0.084	0.068	0.055	0.062	0.109	0.075	0.051	0.042
Plate3	H	0.052	0.052	0.225	0.148	0.097	0.094	0.101	0.11	0.114	0.113	0.047	0.045
Plate4	Replicate	Blank9	P501_900	P503_900	P504_900	P506_900	WT	paaX	P508_900	P509_900	P511_900	P512_900	Blank10
Plate4	A	0.04968	0.09288	0.07398	0.06318	0.08046	0.05724	0.05724	0.11016	0.06318	0.08478	0.08586	0.05076
